Day_from_LH_peak,n_E2_Stricker,Mean_E2_pmolL_Stricker,Median_E2_pmolL_Stricker,5th_E2_pmolL_Stricker,95th_E2_pmolL_Stricker,n_P4_Stricker,Mean_P4_nmolL_Stricker,Median_P4_nmolL_Stricker,5th_P4_nmolL_Stricker,95th_P4_nmolL_Stricker,n_LH_Stricker,Mean_LH_IUL_Stricker,Median_LH_IUL_Stricker,5th_LH_IUL_Stricker,95th_LH_IUL_Stricker,n_FSH_IUL_Stricker,Mean_FSH_IUL_Stricker,Median_FSH_IUL_Stricker,5th_FSH_IUL_Stricker,95th_FSH_IUL_Stricker,n_E2_Dighe,Mean_E2_pmolL_Dighe,Std_E2_pmolL_Dighe,Lower_99_E2_pmolL_Dighe,Upper_99_E2_pmolL_Dighe,Mean_LH_IUL_Dighe,Std_LH_IUL_Dighe,n_LH_Dighe,Lower_99_LH_IUL_Dighe,Upper_99_LH_IUL_Dighe,Mean_FSH_IUL_Dighe,Std_FSH_IUL_Dighe,n_FSH_Dighe,Lower_99_FSH_IUL_Dighe,Upper_99_FSH_IUL_Dighe,n_E2_pmolL_Verdonk,Mean_E2_pmolL_Verdonk,Lower_95_E2_pmolL_Verdonk,Upper_95_E2_pmolL_Verdonk
-15,9,118.42,139.46,57.55,194.44,9,1.66,1.27,0.32,3.75,9,2.59,2.28,0.37,5.79,9,4.44,4.59,1.95,5.86,19,202,121,128,275,4.2,2.9,18,2.4,6,5.2,1.8,19,4.1,6.2,7,112,56,224
-14,12,133.01,149,66.06,187.67,12,1.27,1.27,0.32,2.73,12,3.73,3.39,1.35,6.29,12,5.99,6.45,2.79,8.15,19,198,92,143,253,4.6,2.4,21,3.2,6,5.6,1.8,21,4.6,6.6,10,121,48,304
-13,14,133.17,137.63,75.2,189.34,14,1.02,0.95,0.52,1.59,15,4.1,3.47,2.35,7.36,14,6.29,6.34,4.24,7.79,24,239,158,154,319,4.9,2.4,24,3.6,6.1,6,1.7,25,5.2,6.9,14,122,49,305
-12,17,125.95,128.45,79.42,200.97,17,0.82,0.64,0.32,1.65,17,3.85,3.59,1.52,6.61,17,6.49,6.26,4.62,7.93,30,213,99,165,261,5.9,2.7,30,4.7,7.2,6.9,1.6,31,6.2,7.7,17,121,40,372
-11,19,134.65,130.29,82.98,196.75,19,0.74,0.64,0.32,1.3,19,4.27,3.82,2.5,7.81,19,6.87,6.61,5.5,9.01,35,209,81,176,246,6,2.7,35,4.9,7.2,7.1,1.6,36,6.4,7.8,20,125,31,508
-10,20,151.33,145.15,87.6,209.56,20,0.94,0.64,0.32,2.32,20,4.44,3.82,2.24,8.73,20,7.07,6.88,5.4,10.25,37,228,114,180,275,6.3,3.1,37,5,7.6,7.1,1.9,38,6.3,7.8,24,147,42,512
-9,20,159.48,154.14,93.4,224.68,20,0.72,0.64,0.32,1.29,20,4.46,4.26,2.43,7.39,20,6.69,6.65,5.04,8.8,37,246,125,191,301,7,3.4,39,5.6,8.4,7,1.8,39,6.3,7.7,27,153,41,568
-8,20,170.34,162.76,112.49,220.86,20,0.67,0.48,0.32,1.61,20,5.11,4.96,2.76,7.52,20,6.54,6.46,4.97,9.53,42,275,136,224,330,6.8,3.4,41,5.4,8.1,6.7,1.7,42,6,7.4,29,181,49,669
-7,20,195.9,196.16,124.67,267.23,20,0.73,0.64,0.32,1.3,20,5.13,4.54,3.57,7.9,20,6.74,6.63,4.66,8.59,43,297,143,242,352,7.3,3.9,42,5.7,8.8,6.3,1.7,43,5.7,7,30,217,67,705
-6,20,228.2,215.06,157.66,313.36,20,0.51,0.32,0.32,1,20,4.81,4.47,3.26,7.03,20,5.93,5.65,4.41,8.1,43,338,154,279,400,6.8,3,43,5.6,7.9,6,1.7,43,5.4,6.7,30,227,67,771
-5,20,269.07,262.22,190.47,346.76,20,0.57,0.48,0.32,1.02,20,4.42,4.18,3.11,6.68,20,5.33,5.45,4.19,7.33,45,422,213,341,503,6.8,3.4,45,5.5,8.1,5.5,1.4,46,4.9,6,29,285,104,782
-4,20,343.68,363.15,186.47,490.81,19,0.59,0.64,0.32,0.95,20,4.63,4.58,3.29,6.89,20,4.76,4.59,3.83,6.33,46,503,235,411,591,8.2,10.1,45,4.4,12.1,5.1,2.2,46,4.2,5.9,30,361,158,826
-3,20,477.27,485.72,241.52,803.56,20,0.51,0.32,0.32,0.97,20,5.23,5.12,3.31,7.35,20,4.61,4.35,3.55,6.62,48,672,308,554,786,7.4,5,48,5.6,9.3,4.6,1.3,48,4.1,5.1,30,508,222,1161
-2,20,661.19,651.06,337.35,1153.76,20,0.59,0.64,0.32,1.27,20,7.03,7.02,4.58,9.64,20,4.33,4.32,2.95,5.71,49,870,382,731,1013,8.8,4,49,7.3,10.3,4.4,1.1,49,4,4.8,29,720,386,1341
-1,20,914.84,939.34,503.85,1517.67,20,1.02,0.95,0.62,1.62,20,12.55,12.36,6.36,19.08,20,5.26,5.15,3.2,8.56,48,1116,562,907,1325,18,12.4,48,13.5,22.6,5.8,2.9,49,4.7,6.8,29,921,488,1742
0,20,780.76,671.06,482,1425.39,20,2.66,2.54,1.24,4.13,20,42.65,41.19,21.16,73.63,20,11.54,12.82,5.3,15.07,50,925,400,778,1068,52.3,27.9,50,42.1,62.4,11.6,4.7,51,9.9,13.3,30,887,275,2864
1,20,320.59,312.87,159.87,514.35,20,5.02,4.93,2.21,8.95,20,14.54,14.92,7.47,21.38,20,8.44,8.01,5.2,15.43,49,481,352,352,613,16.6,11.5,49,12.3,20.8,7.3,2.9,49,6.3,8.4,29,387,154,975
2,19,261.32,260.57,154.62,398.38,19,12.13,12.72,4.74,18.67,19,7.92,7.75,3.93,13.24,19,6.2,5.19,3.78,9.51,48,433,268,334,532,9.6,5.5,47,7.6,11.7,5.8,2.2,48,5,6.6,30,282,95,837
3,20,338.94,322.96,208.64,495.82,20,20.84,20.51,11.34,29.05,20,6.66,6.26,3.15,11,20,5.3,4.73,3.05,8.18,46,492,275,385,595,8.5,5.2,45,6.5,10.5,5.3,2,46,4.5,6,29,387,155,964
4,20,454.07,403.52,269.8,665.99,20,29.75,30.85,11.38,45.51,20,6.38,6.46,3.42,9.98,20,4.72,4.36,2.71,7.1,46,580,312,463,697,8.5,6.3,45,6.1,11,4.7,1.6,46,4.1,5.3,30,454,174,1188
5,20,499.49,450.68,292.57,703.85,20,36.08,34.03,23.72,46.46,19,4.91,4.32,2.53,9.19,20,4.03,3.88,2.22,5.97,45,580,312,459,701,7.1,5.9,45,4.9,9.4,4.1,1.5,45,3.6,4.7,30,505,203,1260
6,19,497.07,486.64,267.07,719.72,19,36.52,35.3,22.36,48.18,20,5.39,4.5,1.32,10.75,19,3.64,3.34,2.01,5.53,44,595,312,474,716,5.7,4.5,43,3.9,7.5,3.8,1.3,44,3.3,4.3,30,531,188,1502
7,20,531.14,551.78,291.71,695.47,20,40.32,42.45,25.98,54.17,20,4.14,4.29,1.04,7.2,20,3.24,3.31,1.47,5.34,44,606,290,496,720,4.2,3.7,43,2.7,5.6,3.5,1.5,44,2.9,4,29,543,152,1941
8,20,504.39,491.23,281.91,718.2,20,39.65,37.05,25.06,60.39,20,3.87,3.89,1.58,5.9,20,2.97,2.97,1.53,4.88,42,547,261,444,650,4.7,7.6,41,1.7,7.8,3.2,1.6,42,2.6,3.8,30,524,156,1755
9,20,499.18,503.52,279.18,764.41,20,33.76,32.44,18.25,46.65,20,3.19,3.07,0.73,6.51,20,2.58,2.73,1.26,4.09,42,602,316,477,727,4.4,4.1,41,2.8,6.1,3.1,1.3,43,2.5,3.6,30,524,151,1812
10,19,526.68,495.45,294.48,806.7,19,34.11,32.75,17.74,55.94,19,2.63,1.75,0.97,6.34,19,2.4,2.55,1.12,3.57,42,580,264,474,683,4,3.1,41,2.8,5.3,3.1,1.4,42,2.5,3.7,30,456,118,1757
11,20,350.65,340.41,210.22,640.16,20,18.24,14.47,6.74,38.21,20,2.85,2.52,0.49,6.05,20,2.42,2.54,1.09,3.26,38,525,319,393,661,4.8,11.2,38,0.1,9.5,3.2,2.1,39,2.4,4.1,28,386,84,1769
12,20,322.24,314.52,174.82,546.15,20,16.9,13.04,3.67,41.58,20,3.59,3.43,0.42,7.29,20,2.84,3.08,1.13,4.37,36,444,253,338,554,3.9,2.5,36,2.8,5,3.7,2,36,2.8,4.6,26,304,53,1732
13,16,229.7,170.1,101.93,497.74,16,10.73,5.25,2.15,33.15,16,3.13,2.55,1.19,6.05,16,3.94,3.73,1.55,7.58,35,352,198,264,437,4.2,2.4,35,3.2,5.2,4,1.7,35,3.3,4.8,25,225,44,1148
14,8,249.28,151.2,93.97,693.54,9,9.5,4.13,1.91,33.39,9,3.11,3.23,0.85,6.2,8,3.8,3.81,1.54,5.78,28,264,173,184,349,4.5,2.4,29,3.4,5.7,5,1.6,29,4.2,5.7,22,173,39,766
15,,,,,,,,,,,,,,,,,,,,,22,275,264,132,422,5.4,2.7,21,3.8,6.9,6.1,2.1,21,4.9,7.2,,,,
